,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,5,,Sección 1,CÁTEDRA DE FG01,JU VI 17:25 - 18:45,NAVARRO MYRIAM ANDREA,S-SANTIAGO,Vacantes FG,CFG2240_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2244,"CIUDADANÍA , POBREZA E INNOVACIÓN SOCIAL",5,,Sección 1,B-LEARNING FG01,JU 18:50 - 21:35,GUERRA OSCAR   PATRICIO,S-SANTIAGO,Vacantes FG,CFG2244_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2253,"CREYENTES, AGNÓSTICOS Y ATEOS EN LA ERA",5,,Sección 1,CÁTEDRA DE FG01,LU 11:30 - 12:50; MI 10:00 - 11:20,OTERO EDISON HERMES,S-SANTIAGO,Vacantes FG,CFG2253_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2257,HISTORIA DE LAS CORRIENTES POLÍTICAS EN,5,,Sección 1,CÁTEDRA DE FG01,JU 13:00 - 14:20; LU 16:00 - 17:20,ARANGUIZ SANTIAGO,S-SANTIAGO,Vacantes FG,CFG2257_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2262,CRISIS MEDIOAMBIENTAL Y SUS CONSECUENCIA,5,,Sección 1,CÁTEDRA 01,MA 14:30 - 17:20,LIZAMA NATALIA ANDREA,S-SANTIAGO,Vacantes FG,CFG2262_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2273,"ASTRONOMÍA MODERNA, UNA PERSPECTIVA CÓSM",5,,Sección 1,B-LEARNING FG01,LU 13:00 - 15:50,ARAVENA MANUEL ALEJANDRO,S-SANTIAGO,Vacantes FG,CFG2273_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2273,"ASTRONOMÍA MODERNA, UNA PERSPECTIVA CÓSM",5,,Sección 2,CÁTEDRA DE FG02,MA VI 13:00 - 14:20,ZURLO ALICE,S-SANTIAGO,Vacantes FG,CFG2273_FG02,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2278,MOVIMIENTOS SOCIALES EN LA HISTORIA RECI,5,,Sección 1,CÁTEDRA DE FG01,LU 11:30 - 12:50; MI 14:30 - 15:50,CAVIERES JULIA,S-SANTIAGO,Vacantes FG,CFG2278_FG01,10
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2280,ARTE Y PSICOANÁLISIS,5,,Sección 1,CÁTEDRA DE FG01,MA 10:00 - 12:50,PEREZ CARLOS,S-SANTIAGO,Vacantes FG,CFG2080_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2285,EL SIGLO XX: TRANSFORMACIONES Y CONFLICT,5,,Sección 1,CÁTEDRA DE FG01,LU MI 10:00 - 11:20,MENEGHELLO RAIMUNDO GUILLERM,S-SANTIAGO,Vacantes FG,CFG2285_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG5005,SALUD PÚBLICA Y POLÍTICAS PÚBLICAS,5,,Sección 1,B-LEARNING FG01,LU JU 08:30 - 09:50,MARTINEZ PAULINA ALEJANDRA,S-SANTIAGO,Vacantes FG,CFG5005_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG5006,B-LEARNING HIS. DEL DOCUMENTAL CONTEM.,5,,Sección 1,B-LEARNING FG01,MA 18:50 - 21:35,LIENDO DANIELA ANDREA,S-SANTIAGO,Vacantes FG,CFG5006_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UAH1050,EL JESÚS HISTÓRICO,5,,Sección 1,CÁTEDRA FG01,JU 13:00 - 15:50,,S-ALBHURTADO,Vacantes FG,UAH1050_FG01,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UAH1075,TEOLOGÍA Y ARTE,5,,Sección 1,CÁTEDRA FG01,MI 16:00 - 17:20,,S-ALBHURTADO,Vacantes FG,UAH1075_FG01,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2294,B-LEARNIN CAMBIO CLI. Y ECO. POL. GLOBAL,5,,Sección 1,B-LEARNING FG01,MI 18:50 - 21:35,RAMÍREZ CARLOS ALBERTO,S-SANTIAGO,Vacantes FG,CFG2294_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2295,B-LEARNING RELACIONES DE PODER Y GÉNERO,5,,Sección 1,B-LEARNING FG01,MI 08:30 - 11:20,SCHONGUT NICOLAS,S-SANTIAGO,Vacantes FG,CFG2295_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2296,"B-LEARNING GLOB., INFO. Y SOC. ACTUAL",5,,Sección 1,B-LEARNING FG01,JU 18:50 - 21:35,ROMERO ELENA PILAR,S-SANTIAGO,Vacantes FG,CFG2296_FG01,55
,,,,,,,,,,,,,CFG2296,"B-LEARNING GLOB., INFO. Y SOC. ACTUAL",5,,Sección 1,B-LEARNING FG01,JU 18:50 - 21:35,LEIVA SELMA,S-SANTIAGO,Vacantes FG,CFG2296_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
