,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 11,LABORATORIO 11,MI 13:00 - 14:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC11,17
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 11,CÁTEDRA 06,LU JU 13:00 - 14:20,LAVIN ROBERTO OSVALDO,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC11,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 11,AYUDANTÍA OBLIGATORIA 06,MA 13:00 - 14:20,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC11,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 12,LABORATORIO 12,MI 13:00 - 14:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC12,18
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 12,CÁTEDRA 06,LU JU 13:00 - 14:20,LAVIN ROBERTO OSVALDO,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC12,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 12,AYUDANTÍA OBLIGATORIA 06,MA 13:00 - 14:20,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC12,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 2,LABORATORIO 02,VI 11:30 - 12:50,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC02,18
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 2,AYUDANTÍA OBLIGATORIA 01,MA 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC02,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 2,CÁTEDRA 01,LU JU 11:30 - 12:50,LAVIN ROBERTO OSVALDO,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC02,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 3,LABORATORIO 03,JU 14:30 - 15:50,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC03,17
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 3,CÁTEDRA 02,MA VI 14:30 - 15:50,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC03,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 3,AYUDANTÍA OBLIGATORIA 02,MI 14:30 - 15:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC03,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
